id,name,description,link
1,Ethereum Foundation Grants,Supporting projects that contribute to the Ethereum ecosystem.,https://ethereum.org/en/community/grants/
2,Web3 Foundation Grants Program,Funding for building the foundation of the decentralized web.,https://web3.foundation/grants/
3,Gitcoin Grants,Crowdfunding platform for open source projects in the Web3 space.,https://gitcoin.co/grants/
4,Polygon Grants,Supporting developers building on the Polygon network.,https://polygon.technology/developers/grants
5,Chainlink Grants Program,Funding for projects enhancing the Chainlink ecosystem.,https://chain.link/community/grants
6,Aave Grants DAO,Grants for projects contributing to the Aave ecosystem.,https://aavegrants.org/
7,Uniswap Grants Program,Supporting projects that benefit the Uniswap ecosystem.,https://unigrants.org/
8,Filecoin Dev Grants,Funding for developers building on the Filecoin network.,https://filecoin.io/grants/
9,NEAR Grants Program,Supporting projects building on the NEAR Protocol.,https://near.org/grants/
10,Algorand Foundation Grants Program,Funding for projects advancing the Algorand ecosystem.,https://algorand.foundation/grants-program
11,Tezos Foundation Grants,Supporting projects that contribute to the Tezos ecosystem.,https://tezos.foundation/grants/
12,Harmony Grants,Funding for projects building on the Harmony blockchain.,https://open.harmony.one/300m-on-bounties-grants-daos
13,Solana Foundation Grants,Supporting developers building on the Solana blockchain.,https://solana.foundation/grants
14,Polkadot Treasury Grants,Funding for projects benefiting the Polkadot ecosystem.,https://polkadot.network/treasury/
15,Cosmos Ecosystem Grants,Supporting projects building in the Cosmos ecosystem.,https://cosmos.network/ecosystem/funding
